date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2017-10-27,always train (rows 1-551),4.261578,4.802790,6.411854,3.583011,13.216381,4.248970,-0.010606,0.287550,-0.021167,0.029468,0.807302,2581.070068
2017-10-30,always train (rows 1-551),-0.052247,0.095461,-0.211925,2.250832,0.899221,1.118729,-0.392380,-0.203074,-1.255452,-0.353712,-0.319247,2572.830078
2017-10-31,always train (rows 1-551),-0.008693,-0.046197,-0.846336,1.391565,-0.501417,0.105645,-0.484431,-0.227435,-0.421434,-0.788893,0.094446,2575.260010
2017-11-01,always train (rows 1-551),0.925419,0.871489,0.000000,-1.271898,-0.144763,1.443960,0.123032,0.623859,0.408856,0.308119,0.159211,2579.360107
2017-11-02,always train (rows 1-551),0.035466,0.007811,1.045957,0.731066,-0.857132,-2.047537,0.769355,-0.405367,-0.035705,0.663902,0.018997,2579.850098
2017-11-03,always train (rows 1-551),0.673084,0.672789,2.611321,0.107047,1.588352,0.000000,-0.710459,-0.419016,0.107174,-0.177174,0.309708,2587.840088
2017-11-06,always train (rows 1-551),-0.696186,1.014535,-0.637314,0.392191,0.815040,0.698629,-0.315059,0.685219,-0.228419,-0.621253,0.127125,2591.129883
2017-11-07,always train (rows 1-551),0.931245,0.321364,0.724259,-0.236767,0.223975,0.044418,-0.203551,-0.202964,0.007152,-2.014310,-0.018910,2590.639893
2017-11-08,always train (rows 1-551),0.560647,0.818053,0.630969,0.344146,0.864518,-0.382808,-0.912505,-0.131621,1.108995,-1.124027,0.144365,2594.379883
2017-11-09,always train (rows 1-551),-0.204312,-0.998794,-0.826070,-0.555818,-0.331015,-0.144798,-0.059589,0.599007,-0.686428,-0.010229,-0.376189,2584.620117
2017-11-10,always train (rows 1-551),-0.340735,-0.330940,-0.309340,-0.261633,-0.334770,-0.468497,-0.439055,-0.312475,-0.562889,-0.122943,-0.089764,2582.300049
2017-11-13,always train (rows 1-551),-0.282528,-0.400758,-0.225670,0.071554,0.339447,0.173723,0.391987,-0.060295,0.143334,0.358952,0.098363,2584.840088
2017-11-14,always train (rows 1-551),0.042260,0.024372,-1.511777,0.142996,0.679258,-0.391566,-0.574836,-0.784164,-0.193202,-0.602908,-0.230961,2578.870117
2017-11-15,always train (rows 1-551),-0.502104,-0.496096,-1.318975,-0.777256,-0.892825,-0.067390,-0.834514,-0.279576,-1.252457,0.945838,-0.552568,2564.620117
2017-11-16,always train (rows 1-551),1.163641,1.135246,1.194670,0.265146,0.940807,0.921612,0.132009,-0.165325,-0.800380,0.531936,0.819606,2585.639893
2017-11-17,always train (rows 1-551),-1.199856,-1.298794,-0.555202,-0.961566,-0.651547,-0.328529,-0.543810,-0.626508,-0.397203,-0.729224,-0.262596,2578.850098
2017-11-20,always train (rows 1-551),-0.118732,-0.069672,-0.099928,0.157739,-0.315965,-0.145251,0.314817,-0.050718,0.386340,0.886473,0.127568,2582.139893
2017-11-21,always train (rows 1-551),1.511613,1.581934,1.859080,1.441927,1.170194,1.745540,0.853377,0.297211,0.397266,-0.080765,0.654114,2599.030029
2017-11-22,always train (rows 1-551),0.154245,1.051143,0.142108,1.462935,-0.728609,-0.544368,-0.338462,0.284402,-0.758978,-0.293141,-0.075026,2597.080078
2017-11-24,always train (rows 1-551),0.437290,2.580959,0.005732,0.448854,0.180478,1.056015,-0.109551,0.394579,0.524412,-0.324417,0.205610,2602.419922
2017-11-27,always train (rows 1-551),1.466143,0.828838,1.306930,-0.502959,0.732644,0.136782,0.619656,-0.380727,0.677990,-0.396656,-0.038426,2601.419922
2017-11-28,always train (rows 1-551),-0.813429,-0.186481,-0.645035,-0.585924,1.204253,-0.333296,2.207198,1.390315,0.690389,3.502485,0.984851,2627.040039
2017-11-29,always train (rows 1-551),-2.436773,-2.708614,-2.458441,-1.814336,-2.074287,-3.996251,1.231744,0.734666,-0.149954,2.338240,-0.036923,2626.070068
2017-11-30,always train (rows 1-551),1.333027,-0.116653,1.398385,0.995961,-0.024477,1.170539,1.664466,1.239820,-0.343357,0.761556,0.819095,2647.580078
2017-12-01,always train (rows 1-551),-1.223711,-1.071242,0.106895,-0.465510,-1.100435,-1.173963,0.803069,0.204126,0.466540,0.258343,-0.202453,2642.219971
2017-12-04,always train (rows 1-551),-0.730774,-1.287723,-2.443329,-1.137442,-3.774033,-2.073086,1.233557,0.131785,-0.692970,2.061247,-0.105216,2639.439941
